u_apercor	g_apercor	r_apercor	i_apercor	z_apercor	y_apercor
22.9575	22.2327	21.2979	20.9239	20.7068	20.5932
24.1913	23.7441	22.6550	21.4999	20.8778	20.8105
24.1306	23.4551	22.9146	22.8201	22.7488	23.0893
26.1052	24.4485	22.9576	21.7109	21.2659	21.2729
24.4067	24.1555	23.5995	22.9324	22.5018	22.8049
24.4365	24.0258	23.2630	22.9775	22.8487	23.2775
24.7946	24.6361	23.9626	23.7061	23.7446	23.3886
24.0286	23.8266	23.1717	22.8235	22.9042	23.6060
24.8429	23.8139	23.1636	22.8266	22.7039	22.5887
23.8629	23.7180	23.5376	23.2828	22.8422	22.8227
24.6909	24.4564	24.1582	23.4717	23.2371	23.5175
26.1728	24.2424	22.7187	21.4719	21.0615	21.4147
24.2384	23.4906	22.5865	21.9778	21.7796	21.7066
23.6270	23.5242	23.3803	23.1094	22.7119	23.0899
24.0695	23.3040	22.8451	22.6715	22.6114	22.5430
24.2637	24.0784	23.6919	23.1577	22.6616	22.6211
23.5054	23.1050	22.5486	22.4091	22.3282	22.6302
23.1842	22.7863	22.3349	21.5902	21.3359	21.2279
23.6099	23.2742	22.5015	22.1781	22.0921	22.1526
25.3020	24.6761	23.7376	22.7323	22.1195	21.7096
23.3207	23.0664	22.6539	22.0980	21.9466	21.8605
24.2419	23.5763	22.8999	22.0715	21.7910	21.7853
24.6315	24.2716	23.5274	23.2813	23.1946	23.4682
26.8041	24.7875	23.3432	22.3095	21.9529	21.8362
23.4032	23.0103	22.2444	21.9865	21.8923	21.8379
23.7984	23.6377	23.2478	22.6444	22.4980	22.7559
23.6411	23.0767	22.0817	21.0339	20.6093	20.5096
23.6405	23.3658	22.8007	22.1097	21.7110	21.4711
23.0589	22.3434	21.4893	21.1509	20.9212	21.0354
22.7243	22.4667	22.3538	22.2207	22.0601	21.8250
23.2568	22.8787	22.3277	21.5557	21.1547	20.9678
24.2724	24.1293	23.8141	23.2042	22.8670	22.4966
23.6848	23.5421	23.3429	22.8541	22.6436	22.3293
23.6300	23.5817	23.2842	23.0825	22.5869	23.4230
